Document UT,Times Cited
WOS:000585062800009,5
WOS:000593817800001,5
WOS:000595700800001,5
WOS:000565977600001,5
WOS:000603444200001,5
WOS:000595647200020,5
WOS:000611062900004,5
WOS:000612476300130,5
WOS:000683441400002,5
WOS:000683441400001,5
WOS:000705371500001,5
WOS:000486231700001,4
WOS:000806708800001,4
WOS:000599180400001,4
WOS:000506062900001,4
WOS:000510666900010,4
WOS:000514236800001,4
WOS:000511615400003,4
WOS:000515064800001,4
WOS:000514852000018,4
WOS:000515393800243,4
WOS:000519877000001,4
WOS:000519204600002,4
WOS:000524193400014,4
WOS:000525469100005,4
WOS:000529123800002,4
WOS:000531333600001,4
WOS:000788176300003,4
WOS:000538156800019,4
WOS:000541974400006,4
WOS:000552111000001,4
WOS:000557908500011,4
WOS:000564421100001,4
WOS:000570188900001,4
WOS:000571905500003,4
WOS:000577309700004,4
WOS:000579870800009,4
WOS:000585544100001,4
WOS:000585770900001,4
WOS:000592243300007,4
WOS:000520020900001,4
WOS:000578559200003,4
WOS:000618828100002,4
WOS:000650223000014,4
WOS:000478551400001,3
WOS:001176010800014,3
WOS:000507929900003,3
WOS:000510024900018,3
WOS:000511615400002,3
WOS:000515195100019,3
WOS:000516592400001,3
WOS:000515701900004,3
WOS:000518530100001,3
WOS:000521611100001,3
WOS:000524209400001,3
WOS:000523964500001,3
WOS:000526971800010,3
WOS:000528446000001,3
WOS:000529499300001,3
WOS:000532227200003,3
WOS:000538191600001,3
WOS:000538691100001,3
WOS:000542545500001,3
WOS:000549936700001,3
WOS:000552122400001,3
WOS:000551939400015,3
WOS:000553143300001,3
WOS:000555784500009,3
WOS:000558076200062,3
WOS:000558401800001,3
WOS:000706944100006,3
WOS:000562097200001,3
WOS:000562437400001,3
WOS:000562846700031,3
WOS:000566753000001,3
WOS:000573437600001,3
WOS:000573628000001,3
WOS:000558201600009,3
WOS:000588324100001,3
WOS:000592393000007,3
WOS:000594955700001,3
WOS:000594648300006,3
WOS:000593203100003,3
WOS:000596115100001,3
WOS:000597710900001,3
WOS:000585140700001,3
WOS:000572655200003,3
WOS:000548186100001,3
WOS:000530241600006,3
WOS:000508899700001,3
WOS:000600168400001,3
WOS:000605163500004,3
WOS:000550800800001,3
WOS:000646400100006,3
WOS:000664291200004,3
WOS:000478652300001,2
WOS:000502881700002,2
WOS:000831263500007,2
WOS:000905138500013,2
WOS:000507300400005,2
WOS:000507782300001,2
WOS:000511807700001,2
WOS:000513150200002,2
WOS:000514027100001,2
WOS:000524201200001,2
WOS:000525858400006,2
WOS:000531548500001,2
WOS:000534590600114,2
WOS:000535695100001,2
WOS:000536944800004,2
WOS:000539196300001,2
WOS:000543324900003,2
WOS:000544477200004,2
WOS:000550650000001,2
WOS:000555878000006,2
WOS:000557267800001,2
WOS:000558409500001,2
WOS:000565700000001,2
